cik,company_name,event_date,key,raw_news,top_sym,top_share,phrase_ratio,verdict,reason
1159154,REPUBLIC AIRWAYS HOLDINGS INC,2016-02-26,republic airways,67,RJET,0.642,1.000,ACCEPT,R1 symbol RJET share=0.64
1393066,AbitibiBowater Inc.,2009-04-22,abitibibowater,67,,0.000,1.000,ACCEPT,R3 single-token 'abitibibowater' ratio=1.00
1573166,"Jones Energy, Inc.",2019-04-15,jones energy,65,JONE,0.354,0.738,ACCEPT,R1 symbol JONE share=0.35
1031296,FIRSTENERGY CORP  (FE),2018-04-05,firstenergy,65,FE,0.600,1.000,ACCEPT,R1 symbol FE share=0.60
1335190,MAGNUM HUNTER RESOURCES CORP,2015-12-15,magnum hunter resources,63,MHR,0.413,1.000,ACCEPT,R1 symbol MHR share=0.41
904080,STONE ENERGY CORP,2016-12-14,stone energy,60,SGY,0.633,1.000,ACCEPT,R1 symbol SGY share=0.63
701374,"SIX FLAGS, INC.",2009-06-15,six flags,60,,0.000,1.000,ACCEPT,R2 phrase 'six flags' ratio=1.00
9779,FAIRCHILD CORP,2009-03-19,fairchild,60,,0.000,1.000,ACCEPT,R3 single-token 'fairchild' ratio=1.00
1343719,Energy XXI Ltd,2016-04-14,energy xxi,59,EXXI,0.373,1.000,ACCEPT,R1 symbol EXXI share=0.37
1394954,GT Advanced Technologies Inc.,2014-10-10,gt advanced technologies,58,AEIS,0.034,0.983,ACCEPT,R2 phrase 'gt advanced technologies' ratio=0.98
1568832,RCS Capital Corp,2016-02-04,rcs capital,56,RCAP,0.375,0.964,ACCEPT,R1 symbol RCAP share=0.38
31235,EASTMAN KODAK CO  (KODK),2012-01-19,eastman kodak,56,KKR,0.054,0.964,ACCEPT,R2 phrase 'eastman kodak' ratio=0.96
1594590,PARAGON OFFSHORE PLC,2016-02-16,paragon offshore,56,PGN,0.554,1.000,ACCEPT,R1 symbol PGN share=0.55
1419428,Vantage Drilling CO,2015-12-03,vantage drilling,56,VTG,0.464,1.000,ACCEPT,R1 symbol VTG share=0.46
75208,OVERSEAS SHIPHOLDING GROUP INC,2012-11-15,overseas shipholding,56,FRO,0.071,1.000,ACCEPT,R2 phrase 'overseas shipholding' ratio=1.00
